question_code,sentence
G01Q01,"Mi pobre Vecino, posseìdo de una furiosa frenesì, enagenado de sì mismo, y sofocado de rabia, se enfurecia, y maldecia su fortuna, y precipitada audácia."
G01Q07,"Mi muger aborrece hasta el nombre de Cortejo, y su sencillèz no le permite entender cómo puede haver Dama, que tenga intimidad, llaneza, ni confianzas con quien no es su marido."
G01Q8,No es chanza: la mayor parte de los hombres no saben santiguarse.
G01Q10,"La lectura à que yo intento conduciros, solo podrà mejorar vuestro talento, y éste tambien lograrà enmendarse por medio de la prudencia, y discrecion en todo."
G01Q11,"Huid, Señora, de éstas, y preferid à su comunicacion la de las mas viles, y comunes mugeres; porque éstas no son, sino Demonios con faldas."
G01Q13,"Convencerá tal vez nuestro espiritu; pero poco importa: no gana, no somete nuestro corazon; y à pesar de sus raciocinios artificiosos, tenemos bastante fuerza para resistirle"
G01Q60,"Una muger de esta cláse, es sucia en su casa, golosa en su mesa, desaliñada en sus vestidos y persona, y la habitacion que ella ocupa, se asemeja á una caballeriza."
G01Q62,"Quanto mas lo miraba tanto mas me parecia haberle visto en cierto pais, sin poderme acordar ni del tiempo, ni del parage."
G01Q64,"Pero una vez que veo con tanto gusto de mi corazon los religiosos sentimientos del suyo, desde luego le doy y recibo la enhorabuena"
G01Q65,¡O miserables traductores!
G01Q19,"Y finalmente, que le traba como à hombre, para que llegase à serlo."
G01Q66,"Mi primer intento, dice, fué purgar aquel despreciable embrion de sus muchos errores, para poderlo leer en una tertulia de amigos;"
G01Q67,"Señor Regañon: Como buen amante de la patria no puedo ménos de confesar á vmds. que habiendo leido los Números 1 y 2 de su periódico acerca de las costumbres públicas, me llené de alegría al ver los juiciosos y acertados pensamientos que en él se vertian, y me propuse desde luego escribir á vmd. dándole las gracias por su comunicacion, y por el buen zelo que muestra en un negocio que tanto interesa á la felicidad de la nacion."
G01Q70,"Pero en obsequio de la verdad debo decir, que para volver á leer la carta del Amigo de los Jóvenes es menester hígados, y que solo por la nota que lleva al principio puede conocerse á lo que se dirige, ni mas ni ménos que los quadros de aquel pintor, que solo se conocia lo que representaban por un rótulo que ponia debaxo"
G01Q23,Otra semana sabrèmos los demás articulos de esta Pragmatica.
G01Q26,"Lo mismo dice el Entretenido, y pasa adelante."
G00Q55,"Reynaba en todos el contento, y el ayre resonaba con los alegres cantares de que acompañaban su trabajo."
G00Q56,"Que enemigo de toda nueva resolucion sea el Patrono declarado de la holgazanería, el error, y la ignorancia,"
G00Q64,"Es una vergüenza, un escándalo"
G00Q72,"No puedo sufrir ver hacer actos de virtud y devocion á los logreros, usureros, comerciantes de mala fé, avaros, codiciosos, y á los de una economia sórdida"
G00Q80,No puedo menos de irritarme al oir semejantes despropositos y locuras.
G00Q84,"Que yo pobre de mí me veía lánguido y estenuado, postrado en una cama, abandonado hasta del mas ínfimo sirviente."
G00Q117,"No hay peor compañia, que la de ancianos encaprichados del privilegio de sus años, que reducidos al silencio, dicen, que las materias no son para los de edad regular."
G00Q121,"Los que llamamos Poderosos, viven en una esplendida, y orgullosa miseria, siempre necessitados;"
G00Q126,Está capáz de entristecer à la compañia mas alegre.
G00Q133,"Pero todo esto es inutil, y èl ha hallado el modo de obscurecer las prendas, de que està adornado, entregandose à tantos vicios, y haciendo una vida tan licenciosa, que es el escandalo de la Corte."
G00Q141,"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio."
G00Q142,"Algunas veces me contento con arquear las cejas, y encoger los hombros."
G00Q143,"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba."
G00Q152,¡què mal lo conoce V. M.!
G00Q164,"Ni tantos ancianos, que en la mas estrecha angustia de la escaséz, buscan el pan con el doble sudor de su rostro, sudan en adquirirle mendigando, y sudan con la vergüenza de haberle de procurar pidiendo."
G00Q171,"¡valgate Dios por nombre, que aún assi engendras sustos, parasismos, y aborrecimiento!"
G00Q174,"Lucio es un ingrato, es un Hombre, que entrega â el olvido los mayores favores, pues en el tiempo de su miseria le socorrì con generosidad, y ahora que yá de nadie necessita, no hace caso de quien tanto le sirviò"
G00Q176,"Tenía muchissima confianza de mi, como que se hacía cargo de la prenda, que tenìa en Casa."
G00Q179,"Estas fingidas esperanzas, y las importunas ponderaciones de todos los que me trataban, como conquistados de sus regalos, me llevaron voluntariamente â manos de mi mayor desgracia."
G00Q184,"Señora Culta, su Carta es un farrago de los mas despreciables, y en su obscuro contexto se mira la satisfaccion de su duda."
G00Q185,"Yo por mi desgracia me hallo Casada con un Curioso tan fino, que por la menor novedad que se le presente, se estará dos dias sin venir â casa, hasta conseguir hallarse informado de sus menores circunstancias, para despues tener assumpto flamante en las Tertulias"
G00Q205,"Se le presentaba siempre lleno el semblante de serenidad, y tan contenta como pudiera en medio de la abundancia y las riquezas."
G00Q206,"Y estos mismos amigos le miran con indiferencia, punto menos que en la miseria de que él los sacó, y de que son ellos la verdadera causa."
G00Q210,"pero un accidente peor para mí que una buena enfermedad me obliga à guardar Casa por algunos dias, y à no presentarme donde Gentes me vean la cara, hasta que à todas se les haya borrado de la imaginacion mi fisonomía."
G00Q190,"De aqui es que no hablará una palabra en asunto de la moda, aquel ente que, en sentir de nuestros Catones, trae en perpetuo jiro y continuo mobimiento los cerebros vacíos, ligeros, y volatiles."
G00Q191,"Tal qual diamantillo tiene; pero lo demás son chispas, y todo ello de muy mal gusto."
G00Q215,"A mí me hizo reir este ofrecimiento, mas no asi al otro, à quien antes le irritó tanto, que à breves razones vino à decirle que era un herege, y que su proposicion era no tan solamente impía, heretica, erronea, y escandalosa, sino tambien capciosa, y piarum aurium ofensiva:"
G00Q216,"Es un cobarde, un vil, un indigno de los honores que goza, y de alternar con quien tenga el corazon bien puesto."
G00Q227,¡Qué delicia no sería oirlas entonar con sus encantadoras voces el Te Franciscum laudamus por alguna victoria contra infieles!
G00Q231,"y como nadie hasta ahora se habia acordado de mí para este efecto, y debia trabajarlo todo por mí mismo, me iba desanimando poco á poco de mi empeño."
G00Q232,"Una cosa semejante creen ellos que ha de sucederles en el Tribunal Supremo, respecto de aquellas acciones delinqüentes, en las quales tienen por complice á la muchedumbre."
G00Q234,"La miseria iba á oprimirme, y no me quedaba ya sino este infame medio para librarme de una inminente ruina."
G00Q238,"Le hemos manifestado varias veces quán impropias nos parecen de un hombre bien educado, y quanto nos ofenden éstas y otras expresiones;"
G00Q244,"antes mas me le afeminaron, y era tal el temor que me causaban los Duendes, que en oyendo á á"
G00Q253,"Mas yo no sé como entorpecidas por una especie de encanto mis piernas, al primer paso que fuí a dar caí tendido en tierra, de que no sin mucha fatiga pude levantarme."
G00Q257,"La aurora de un nuevo periódico se presenta apacible á la sociedad, y la anima con indecible esplendor."
